TransactionAmt,card1,card2,card3,card5,addr1,addr2,dist1,dist2,ProductCD_C,ProductCD_W,card4_0,card4_american express,card4_discover,card4_mastercard,card4_visa,card6_0,card6_charge card,card6_credit,card6_debit,card6_debit or credit,target
-0.21739166541027743,0.8884100989849285,-0.8115732722507971,-0.3754138191681021,0.670600902485801,-0.14537288061715073,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.38180948276199683,1.673321962883782,-0.06536874028621548,1.6557259316571502,0.0009314885525417369,-1.4989761814508147,-1.8750248474878322,-0.21245979169599744,-0.06701437113862857,1,0,0,0,0,0,1,0,0,1,0,0,0
-0.3925323838936307,-0.31050308424907025,0.7603493893467232,-0.3754138191681021,-0.6255334470624427,1.4471015909518659,0.5396090645423753,-0.19284165489301655,-0.12682620164739186,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.1494799582432629,-0.4424556959893556,0.0508434409213833,-0.3754138191681021,0.7354076199632132,1.4471015909518659,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,1,0,0,0,0,1,0,0
-0.11373695447115,0.9203673721407789,0.9805408905821735,-0.3754138191681021,0.670600902485801,0.5911465624835194,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,0,1,0,0,0,1,0,1
-0.1816486616381645,-0.9882034511089419,-0.5057517427571161,-0.3754138191681021,0.6273964241675262,0.2527457372751034,0.5396090645423753,-0.13006361712347775,-0.12682620164739186,0,1,0,0,0,1,0,0,0,0,1,0,1
-0.25670896955960165,0.8465563799485567,1.1701502388682559,-0.3754138191681021,0.6273964241675262,-0.14537288061715073,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,1,0,0,0,0,1,0,0
-0.25313466918239036,0.018759917234110482,-1.2825384276710659,1.6557259316571502,-1.2303961435182897,-1.4989761814508147,-1.8750248474878322,-0.21245979169599744,-0.12682620164739186,1,0,0,0,0,0,1,0,0,0,1,0,1
0.11501826967037264,0.04061456855359524,-1.4721477759571482,-0.3754138191681021,0.670600902485801,0.6574996654655618,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.41397818615689846,0.5752288220575951,0.845979417604954,-0.3754138191681021,-4.211505147479251,-1.4989761814508147,-1.8750248474878322,-0.21245979169599744,-0.12682620164739186,1,0,0,0,0,0,1,0,0,1,0,0,1
6.0054652913145805,-1.4980765899116382,1.2863624200758546,-0.3754138191681021,-0.7119424036989923,0.48498159771225163,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,0,1,0,0,1,0,0,1
-0.3853837831392081,-1.5607540804882738,1.182383100048003,1.6557259316571502,0.670600902485801,-1.4989761814508147,-1.8750248474878322,-0.21245979169599744,-0.12682620164739186,1,0,0,0,0,0,1,0,0,1,0,0,1
-0.41397818615689846,1.3009681866291645,-0.9033197310989014,1.6557259316571502,-1.2303961435182897,-1.4989761814508147,-1.8750248474878322,-0.21245979169599744,-0.12682620164739186,1,0,0,0,0,0,1,0,0,0,1,0,0
0.18650427721459847,-0.31050308424907025,0.7603493893467232,-0.3754138191681021,-0.6255334470624427,0.5911465624835194,0.5396090645423753,-0.21245979169599744,-0.12682620164739186,0,1,0,0,0,0,1,0,0,0,1,0,0
